2023-10-18T13:43:20.429132Z  INFO term: starting
2023-10-18T13:43:20.430205Z  INFO tt_rust::ui::glyph::frame: allocated frame to Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:20.430225Z  INFO tt_rust::ui::glyph::label: allocate label to Rect { x: 1, y: 1, w: 138, h: 1 }
2023-10-18T13:43:20.430235Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:24.642298Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:24.688474Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:24.721350Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:24.754718Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:24.787832Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:24.805046Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:24.822484Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:24.871474Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:25.690031Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:25.773658Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:25.839827Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:25.874139Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:25.906799Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:25.924074Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:25.973303Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.022989Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.056626Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.107503Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.141264Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.173606Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.223734Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.290807Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.374042Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.526032Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.774448Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.858772Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.874046Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.907988Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.958045Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:26.974645Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.008108Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.041453Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:27.074802Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
